RestaurantID,RestaurantName,CountryCode,City,Cuisines,Currency,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Price_range,Votes,Average_Cost_for_two,Rating,cost_per_person,cost_category,num_cuisines,primary_cuisines,Rating_Bucket,log_votes,popularity_score,Value-for-money,city_competition,city_competition_norm
17334414,Southern Bliss Bakery,216,Dalton,Desserts| Sandwich,Dollar($),,,No,1,25,10,3.7,5.0,Low,1,Desserts| Sandwich,Good,3.258096538021482,92.5,1.74,20,0.0036543029417138682
17334082,Bailey's Bar-B-Que,216,Dalton,BBQ,Dollar($),,,No,1,128,10,4.1,5.0,Low,1,BBQ,Good,4.859812404361672,524.8,1.8199999999999998,20,0.0036543029417138682
17334364,Farm To Fork,216,Dalton,American| Diner| Southern,Dollar($),,,No,1,244,10,4.3,5.0,Low,1,American| Diner| Southern,Good,5.501258210544727,1049.2,1.8599999999999999,20,0.0036543029417138682
17334398,Home Plate Grill,216,Dalton,American| BBQ| Southern,Dollar($),,,No,1,112,10,4.2,5.0,Low,1,American| BBQ| Southern,Good,4.727387818712341,470.40000000000003,1.84,20,0.0036543029417138682
17334219,Pie Slingers Pizzeria,216,Dalton,Italian| Pizza,Dollar($),,,No,1,144,10,4.1,5.0,Low,1,Italian| Pizza,Good,4.976733742420574,590.4,1.8199999999999998,20,0.0036543029417138682
17335173,Olive Tree Cafe,216,Davenport,Indian| Mediterranean| Middle Eastern,Dollar($),,,No,2,166,25,4.6,12.5,Low,1,Indian| Mediterranean| Middle Eastern,Excellent,5.117993812416755,763.5999999999999,1.3679999999999999,19,0.003471587794628175
17335195,"Red Ginger Sushi, Grill & Bar",216,Davenport,Sushi| Teriyaki,Dollar($),,,No,3,208,40,4.5,20.0,Low,1,Sushi| Teriyaki,Good,5.342334251964811,936.0,1.225,19,0.003471587794628175
17335225,Crust Stone Oven Pizza,216,Davenport,Burger| Pizza,Dollar($),,,No,2,136,25,3.9,12.5,Low,1,Burger| Pizza,Good,4.919980925828125,530.4,1.312,19,0.003471587794628175
17335219,Jimmy's Pancake House,216,Davenport,American| Breakfast| Greek,Dollar($),,,No,1,85,10,4.0,5.0,Low,1,American| Breakfast| Greek,Good,4.454347296253507,340.0,1.8,19,0.003471587794628175
17334965,Trattoria Tiramisu,216,Davenport,Italian,Dollar($),,,No,2,117,25,4.1,12.5,Low,1,Italian,Good,4.770684624465665,479.69999999999993,1.3279999999999998,19,0.003471587794628175
17335189,Prairie Grille at SteepleGate Inn,216,Davenport,American| Breakfast,Dollar($),,,No,2,53,25,3.4,12.5,Low,1,American| Breakfast,Average,3.9889840465642745,180.2,1.272,19,0.003471587794628175
17335156,Tantra Asian Bistro,216,Davenport,Asian,Dollar($),,,No,2,474,25,4.9,12.5,Low,1,Asian,Excellent,6.163314804034641,2322.6000000000004,1.392,19,0.003471587794628175
17334717,Chick-fil-A,216,Davenport,Fast Food,Dollar($),,,No,1,125,10,3.9,5.0,Low,1,Fast Food,Good,4.836281906951478,487.5,1.78,19,0.003471587794628175
17334752,Duck City Bistro,216,Davenport,American| French,Dollar($),,,No,4,201,70,3.7,35.0,Low,1,American| French,Good,5.308267697401205,743.7,1.1057142857142856,19,0.003471587794628175
18453427,Frick's Tap,216,Davenport,American| Bar Food| BBQ,Dollar($),,,No,2,2,25,1.0,12.5,Low,1,American| Bar Food| BBQ,Poor,1.0986122886681098,2.0,1.08,19,0.003471587794628175
17793744,Los Agaves,216,Davenport,Mexican,Dollar($),,,No,2,3,25,1.0,12.5,Low,1,Mexican,Poor,1.3862943611198906,3.0,1.08,19,0.003471587794628175
17334718,China Cafe,216,Davenport,Chinese,Dollar($),,,No,2,112,25,4.0,12.5,Low,1,Chinese,Good,4.727387818712341,448.0,1.32,19,0.003471587794628175
17334763,Exotic Thai Restaurant,216,Davenport,Thai,Dollar($),,,No,2,256,25,4.1,12.5,Low,1,Thai,Good,5.54907608489522,1049.6,1.3279999999999998,19,0.003471587794628175
17335158,Front Street Brewery,216,Davenport,American,Dollar($),,,No,1,123,10,4.3,5.0,Low,1,American,Good,4.820281565605037,528.9,1.8599999999999999,19,0.003471587794628175
